heuristic,agents,profit,time,distance
two,10,90,10137.36,223089.66
two,10,95,14330.77,226669.39
two,10,100,20063.74,250780.91
two,10,105,17826.37,251119.48
two,10,110,18873.63,251119.48
two,10,115,18841.76,271946.49
two,10,120,19336.26,333121.78
two,10,125,21860.44,333825.83
two,10,130,19276.92,360651.78
two,10,135,19524.18,392941.41
two,10,140,20490.11,397685.98
two,10,145,19764.84,402489.14
two,10,150,19913.19,403116.93
two,10,155,18482.42,413554.91
two,10,160,20078.02,454494.73
two,10,165,20094.51,481348.80
two,10,170,21059.34,502138.11
two,10,175,21045.05,522807.15
two,10,180,12312.09,557131.55
two,10,185,14002.20,618440.30
two,10,190,15795.60,656327.98
two,10,195,18974.73,707605.36
two,10,200,24767.03,761962.06
two,10,205,24984.62,890492.98
two,10,210,37448.35,934923.71
two,10,215,30648.35,961287.27
two,10,220,29665.93,959324.71
two,10,225,31261.54,969631.79
two,10,230,28973.63,1016089.24
two,10,235,33032.97,1051511.66
two,10,240,38787.91,1077776.84
two,10,245,39167.03,1108810.88
two,10,250,49272.53,1239744.20
two,10,255,66847.25,1376918.31
two,10,260,74709.89,1442860.17
two,10,265,79463.74,1463939.78
two,10,270,80474.73,1554381.89
two,10,275,74447.25,1583476.60
two,10,280,85153.85,1689777.17
two,10,285,109884.62,1775931.04
two,10,290,106119.78,1912701.75
two,10,295,115331.87,1970243.81
three,1,5,9709.89,32436.48
three,1,10,2331.87,32436.48
three,1,15,3053.85,32532.72
three,1,20,1740.66,33112.24
three,1,25,1782.42,35398.77
three,1,30,2389.01,41550.74
three,1,35,3015.38,47498.32
three,1,40,2345.05,48100.35
three,1,45,12731.87,124691.54
three,1,50,5171.43,139609.65
three,1,55,3708.79,141132.70
three,1,60,2513.19,142655.76
three,1,65,1753.85,142655.76
three,1,70,976.92,142655.76
three,1,75,1589.01,156021.65
three,1,80,1142.86,163063.02
three,1,85,1312.09,186496.54
three,1,90,1360.44,186503.35
three,1,95,1292.31,186503.35
three,1,100,1501.10,189647.35
three,1,105,1342.86,192947.07
three,1,110,1500.00,196685.75
three,1,115,1294.51,196715.50
three,1,120,1998.90,203097.74
three,1,125,2460.44,215743.15
three,1,130,2817.58,223924.59
three,1,135,2393.41,231001.07
three,1,140,2689.01,231035.77
three,1,145,2903.30,231035.77
three,1,150,1679.12,234828.79
three,1,155,2728.57,234994.61
three,1,160,2518.68,238749.46
three,1,165,2419.78,238833.03
three,1,170,3096.70,242782.65
three,1,175,2637.36,243410.86
three,1,180,3364.84,246867.43
three,1,185,3459.34,252063.75
three,1,190,5875.82,261581.38
three,1,195,5954.95,451537.15
three,1,200,5646.15,460341.25
three,1,205,5786.81,462155.35
three,1,210,5668.13,464245.67
three,1,215,6063.74,465840.63
