coefficient,agentNo,coefficientVal,desiredProfit,distanceRes
dist,6,1,115,267591.20
dist,8,1,115,268051.08
dist,10,1,115,268051.08
dist,1,2,115,186418.11
dist,2,2,115,228763.72
dist,3,2,115,261881.80
dist,4,2,115,262094.15
dist,6,2,115,264394.27
dist,8,2,115,270050.27
dist,10,2,115,270592.38
dist,1,4,115,187115.35
dist,2,4,115,226607.60
dist,3,4,115,251002.02
dist,4,4,115,262221.58
dist,6,4,115,267565.87
dist,8,4,115,268643.06
dist,10,4,115,269877.09
dist,1,8,115,187783.48
dist,2,8,115,221438.60
dist,3,8,115,253449.04
dist,4,8,115,264749.95
dist,6,8,115,270562.61
dist,8,8,115,272614.27
dist,10,8,115,273811.38
dist,1,16,115,192139.40
dist,2,16,115,231557.33
dist,3,16,115,261428.75
dist,4,16,115,277906.33
dist,6,16,115,289836.06
dist,8,16,115,290804.99
dist,10,16,115,293087.95
dist,1,32,115,193459.39
dist,2,32,115,288617.95
dist,3,32,115,309449.78
dist,4,32,115,330062.99
dist,6,32,115,370410.05
dist,8,32,115,380615.54
dist,10,32,115,411861.02
dist,1,1,120,196102.29
dist,2,1,120,223810.28
dist,3,1,120,268361.37
dist,4,1,120,275368.61
dist,6,1,120,307364.32
dist,8,1,120,333853.84
dist,10,1,120,333853.84
dist,1,2,120,186678.95
dist,2,2,120,229632.17
dist,3,2,120,277673.02
dist,4,2,120,278244.96
dist,6,2,120,325733.08
dist,8,2,120,331368.74
dist,10,2,120,331910.85
dist,1,4,120,187386.68
dist,2,4,120,228481.05
dist,3,4,120,267532.30
dist,4,4,120,284236.19
dist,6,4,120,333706.39
dist,8,4,120,335387.68
dist,10,4,120,336626.37
dist,1,8,120,188056.08
dist,2,8,120,223093.31
